,positive_bert,negative_bert,neutral_bert
0,0.83715206,0.004957276,0.15789063
1,0.717188,0.01763083,0.26518115
2,0.52829826,0.056653265,0.41504848
3,0.4425168,0.093417704,0.46406552
4,0.41718417,0.11042396,0.47239184
5,0.40823486,0.082703575,0.5090615
6,0.015249605,0.69752264,0.2872278
7,0.009858315,0.7374705,0.25267112
8,0.2849108,0.13962021,0.575469
9,0.0066560125,0.8105525,0.18279147
10,0.29229525,0.05466731,0.6530374
11,0.015962237,0.5089948,0.4750429
12,0.04124671,0.50749886,0.4512544
13,0.234495,0.092970036,0.67253494
14,0.64522284,0.011729047,0.34304807
15,0.04498073,0.44531047,0.50970876
16,0.008928686,0.86282355,0.12824778
17,0.3882711,0.007831114,0.6038978
18,0.059779447,0.23783201,0.7023885
19,0.016152935,0.63177377,0.35207325
20,0.7917212,0.013248799,0.19502994
21,0.026053546,0.45035237,0.5235941
22,0.59487706,0.020919207,0.38420367
23,0.033302937,0.41867754,0.54801947
24,0.020640843,0.6637276,0.3156316
25,0.007099365,0.8486753,0.1442253
26,0.08807488,0.2495847,0.66234046
27,0.111827776,0.03582952,0.8523427
28,0.049568057,0.38695705,0.56347483
29,0.18829666,0.19083215,0.6208712
30,0.010608976,0.7734523,0.21593882
31,0.04297494,0.07254186,0.88448316
32,0.008061868,0.83877105,0.15316714
33,0.556437,0.0766223,0.36694068
34,0.021151736,0.8813015,0.09754673
35,0.047171216,0.58310336,0.36972544
36,0.041633043,0.12522133,0.8331457
37,0.25744137,0.05982926,0.6827294
38,0.006599475,0.8662033,0.12719722
39,0.0068627684,0.82041085,0.17272638
40,0.012852621,0.8811753,0.105972126
41,0.037491374,0.7795401,0.18296844
42,0.12859397,0.24632418,0.62508184
43,0.017573649,0.42092603,0.5615003
44,0.055949066,0.3920499,0.55200094
45,0.16856956,0.40741444,0.424016
46,0.009182449,0.88221276,0.10860481
47,0.15348092,0.10474342,0.7417757
48,0.17504267,0.19558059,0.62937677
49,0.094214045,0.5920158,0.31377015
50,0.7748811,0.010388474,0.21473038
51,0.040766723,0.43707797,0.52215534
52,0.41718417,0.11042396,0.47239184
53,0.07927994,0.41206676,0.5086533
54,0.37709963,0.05862904,0.56427133
55,0.008624995,0.9218259,0.06954922
