,feature,r2,mae,mse,rmse
1018,average_user_avg_nltk_english_stopwords,0.04914,0.7447499999999999,0.9579700000000001,0.97866
786,average_user_avg_num_words,0.04851,0.74318,0.9586399999999999,0.9790000000000001
801,max_user_avg_info_exchange_zscore_chats,0.04812999999999999,0.74483,0.95902,0.97919
798,average_user_avg_info_exchange_zscore_chats,0.04808,0.74316,0.9590799999999999,0.97922
789,max_user_avg_num_words,0.047599999999999996,0.74515,0.9595699999999999,0.9794699999999998
790,average_user_avg_num_chars,0.04753,0.7440599999999999,0.9596199999999999,0.97949
1021,max_user_avg_nltk_english_stopwords,0.04713,0.74623,0.95999,0.9796799999999999
793,max_user_avg_num_chars,0.04587,0.74657,0.9612999999999999,0.9803600000000001
30,max_info_exchange_zscore_chats,0.040690000000000004,0.74628,0.9665399999999998,0.9830099999999999
970,average_user_avg_verbs,0.04060999999999999,0.7490600000000001,0.96655,0.9830300000000001
