conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies,average_hear,average_home,average_conjunction,average_certainty,average_inclusive,average_bio,average_achievement,average_adverbs,average_anxiety,average_third_person,average_negation,average_swear,average_death,average_health,average_see,average_body,average_family,average_negative_affect,average_quantifier,average_positive_affect,average_insight,average_humans,average_present_tense,average_future_tense,average_past_tense,average_relative,average_sexual,average_inhibition,average_sadness,average_social,average_indefinite_pronoun,average_religion,average_work,average_money,average_causation,average_anger,average_first_person_singular,average_feel,average_tentativeness,average_exclusive,average_verbs,average_friends,average_article,average_argue,average_auxiliary_verbs,average_cognitive_mech,average_preposition,average_first_person_plural,average_percept,average_second_person,average_positive_words,average_first_person,average_nltk_english_stopwords,average_hedge_words,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_(btw),average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl.,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_(greeting),average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,sum_positive_bert,sum_negative_bert,sum_neutral_bert,sum_num_words,sum_num_chars,sum_num_messages,sum_info_exchange_zscore_chats,sum_info_exchange_zscore_conversation,sum_discrepancies,sum_hear,sum_home,sum_conjunction,sum_certainty,sum_inclusive,sum_bio,sum_achievement,sum_adverbs,sum_anxiety,sum_third_person,sum_negation,sum_swear,sum_death,sum_health,sum_see,sum_body,sum_family,sum_negative_affect,sum_quantifier,sum_positive_affect,sum_insight,sum_humans,sum_present_tense,sum_future_tense,sum_past_tense,sum_relative,sum_sexual,sum_inhibition,sum_sadness,sum_social,sum_indefinite_pronoun,sum_religion,sum_work,sum_money,sum_causation,sum_anger,sum_first_person_singular,sum_feel,sum_tentativeness,sum_exclusive,sum_verbs,sum_friends,sum_article,sum_argue,sum_auxiliary_verbs,sum_cognitive_mech,sum_preposition,sum_first_person_plural,sum_percept,sum_second_person,sum_positive_words,sum_first_person,sum_nltk_english_stopwords,sum_hedge_words,sum_num_question_naive,sum_NTRI,sum_word_TTR,sum_first_pronouns_proportion,sum_function_word_accommodation,sum_content_word_accommodation,sum_hedge_naive,sum_textblob_subjectivity,sum_textblob_polarity,sum_positivity_zscore_chats,sum_positivity_zscore_conversation,sum_dale_chall_score,sum_time_diff,sum_please,sum_please_start,sum_hashedge,sum_indirect_(btw),sum_hedges,sum_factuality,sum_deference,sum_gratitude,sum_apologizing,sum_1st_person_pl.,sum_1st_person,sum_1st_person_start,sum_2nd_person,sum_2nd_person_start,sum_indirect_(greeting),sum_direct_question,sum_direct_start,sum_haspositive,sum_hasnegative,sum_subjunctive,sum_indicative,user_list
0,niceRhino,0.35677071125,0.0847200668125,0.55850921875,15.875,81.625,1.0,-0.009064040662112728,-0.07501459913693619,0.00125,0.00125,0.0,0.016249999999999997,0.0,0.004999999999999999,0.0,0.005,0.0062499999999999995,0.0,0.013749999999999998,0.00625,0.00375,0.0,0.0,0.0,0.0,0.0,0.00125,0.0037499999999999994,0.0012499999999999998,0.01375,0.0024999999999999996,0.0175,0.00125,0.005,0.011249999999999998,0.0,0.0,0.0,0.02875,0.01,0.0,0.00375,0.0,0.008749999999999999,0.00375,0.01,0.00125,0.0037499999999999994,0.0062499999999999995,0.024999999999999998,0.0,0.008749999999999999,0.009999999999999998,0.01125,0.039999999999999994,0.01625,0.00125,0.0025,0.00125,0.00375,0.01,0.0875,0.0,0.25,0.0,0.9529740338164251,0.06676910800552105,2.0,0.10979947306791568,0.0,0.16995535714285714,0.006830357142857143,0.8669387625588809,0.6800445344909146,1.365321875,7.261125,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.25,0.625,0.125,0.0,0.125,0.125,0.0,0.25,0.25,0.0,0.0,2.85416569,0.6777605345,4.46807375,127,653,8,-0.07251232529690183,-0.6001167930954895,0.01,0.01,0.0,0.12999999999999998,0.0,0.039999999999999994,0.0,0.04,0.049999999999999996,0.0,0.10999999999999999,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.029999999999999995,0.009999999999999998,0.11,0.019999999999999997,0.14,0.01,0.04,0.08999999999999998,0.0,0.0,0.0,0.23,0.08,0.0,0.03,0.0,0.06999999999999999,0.03,0.08,0.01,0.029999999999999995,0.049999999999999996,0.19999999999999998,0.0,0.06999999999999999,0.07999999999999999,0.09,0.31999999999999995,0.13,0.01,0.02,0.01,0.03,0.08,0.7,0.0,2,0,7.623792270531401,0.5341528640441684,16,0.8783957845433255,0,1.3596428571428572,0.054642857142857146,6.935510100471047,5.440356275927317,10.922575,58.089,0,0,4,0,4,0,0,0,0,1,2,5,1,0,1,1,0,2,2,0,0,"['culturedCow' 'spryBison' 'youngLion' 'smallGiraffe' 'culturedBear'
 'spryOrangutan' 'littleSquirrel']"
0,culturedCow,0.16132578652000001,0.49586716840000006,0.34280706,28.0,145.0,1.0,0.9917179501717023,0.8714327537633973,0.008,0.0,0.002,0.024,0.002,0.008,0.0,0.008,0.018,0.0,0.026000000000000002,0.01,0.006,0.0,0.0,0.0,0.0,0.008,0.0,0.008,0.002,0.024,0.0,0.038,0.002,0.008,0.024,0.0,0.002,0.0,0.048,0.018,0.0,0.004,0.0,0.006,0.008,0.016,0.004,0.012,0.016,0.052000000000000005,0.0,0.02,0.01,0.034,0.074,0.036,0.0,0.004,0.0,0.008,0.016,0.156,0.004,0.0,0.0,0.8566610379376337,0.047346617133851174,2.4,0.13938459536820194,0.4,0.3352272727272727,0.1484848484848485,-0.018636572881624104,-0.1275026868269717,1.3888,7.062,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.2,0.0,0.4,0.4,0.2,0.0,0.0,0.8066289326,2.4793358420000002,1.7140353,140,725,5,4.958589750858511,4.357163768816987,0.04,0.0,0.01,0.12,0.01,0.04,0.0,0.04,0.09,0.0,0.13,0.05,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.01,0.12000000000000001,0.0,0.19,0.01,0.04,0.12000000000000001,0.0,0.01,0.0,0.24000000000000002,0.09,0.0,0.02,0.0,0.03,0.04,0.08,0.02,0.06,0.08,0.26,0.0,0.1,0.05,0.17,0.37,0.18,0.0,0.02,0.0,0.04,0.08,0.78,0.02,0,0,4.283305189688169,0.23673308566925588,12,0.6969229768410097,2,1.6761363636363635,0.7424242424242424,-0.09318286440812051,-0.6375134341348584,6.944,35.31,0,0,4,0,4,0,0,0,0,0,3,3,0,0,1,0,2,2,1,0,0,"['niceRhino' 'spryBison' 'youngLion' 'smallGiraffe' 'culturedBear'
 'spryOrangutan' 'littleSquirrel']"
0,spryBison,0.297614037,0.3128627398888889,0.38952323333333333,9.777777777777779,45.22222222222222,1.0,-0.4709819756938687,-0.5118540015963575,0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,0.0022222222222222227,0.0022222222222222227,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,0.0011111111111111111,0.011111111111111112,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0011111111111111111,0.0044444444444444444,0.0,0.0033333333333333335,0.006666666666666667,0.0044444444444444444,0.0022222222222222222,0.011111111111111112,0.0,0.0033333333333333335,0.006666666666666667,0.0022222222222222222,0.0011111111111111111,0.0,0.027777777777777776,0.0044444444444444444,0.0,0.003333333333333333,0.0,0.0011111111111111111,0.0011111111111111111,0.0022222222222222222,0.0,0.0011111111111111111,0.0011111111111111111,0.015555555555555557,0.0,0.005555555555555556,0.0022222222222222222,0.008888888888888889,0.017777777777777778,0.014444444444444446,0.0022222222222222227,0.0011111111111111111,0.0,0.007777777777777778,0.0044444444444444444,0.05222222222222222,0.0,0.0,0.0,0.9683597883597884,0.012380952380952381,1.1111111111111112,0.02734603294241508,0.0,0.27989417989417986,0.17989417989417988,0.598895518586902,0.43561860233130567,0.48497777777777773,6.457222222222223,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0,2.678526333,2.815764659,3.5057091,88,407,9,-4.238837781244818,-4.6066860143672175,0.01,0.01,0.01,0.01,0.020000000000000004,0.020000000000000004,0.02,0.02,0.02,0.01,0.1,0.0,0.02,0.0,0.0,0.0,0.01,0.04,0.0,0.030000000000000002,0.060000000000000005,0.04,0.02,0.1,0.0,0.030000000000000002,0.060000000000000005,0.02,0.01,0.0,0.25,0.04,0.0,0.03,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.14,0.0,0.05,0.02,0.08,0.16,0.13,0.020000000000000004,0.01,0.0,0.07,0.04,0.47,0.0,0,0,8.715238095238096,0.11142857142857143,10,0.24611429648173572,0,2.519047619047619,1.619047619047619,5.390059667282118,3.920567420981751,4.3648,58.115,0,0,2,0,2,1,0,0,0,2,0,2,0,0,1,1,1,4,1,0,0,"['niceRhino' 'culturedCow' 'youngLion' 'smallGiraffe' 'culturedBear'
 'spryOrangutan' 'littleSquirrel']"
0,youngLion,0.083168020725,0.558675805,0.3581561775,15.875,78.375,1.0,0.012644896232330102,-0.05448428779419577,0.011250000000000001,0.0,0.0025,0.01375,0.0,0.0037500000000000003,0.0,0.0037500000000000003,0.00625,0.0025,0.011250000000000001,0.005,0.00375,0.0,0.0,0.00125,0.0,0.00625,0.00375,0.0025000000000000005,0.0,0.01375,0.0025,0.02625,0.00625,0.0025,0.011250000000000001,0.0,0.0,0.0,0.034999999999999996,0.0025,0.0,0.0037500000000000003,0.0,0.00625,0.005,0.00875,0.0025,0.005,0.007500000000000001,0.03875,0.0,0.013750000000000002,0.007500000000000001,0.025,0.04,0.01625,0.0,0.0037500000000000007,0.0025,0.00625,0.00875,0.09,0.0012500000000000002,0.25,0.0,0.954447696023783,0.039377289377289376,1.75,0.12017685536622788,0.125,0.19791666666666669,-0.08181818181818182,-0.3727751608076343,-0.45043809525141115,0.8422263888888888,3.831125,0.0,0.0,0.625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.125,0.0,0.125,0.125,0.0,0.25,0.5,0.0,0.0,0.6653441658,4.46940644,2.86524942,127,627,8,0.10115916985864082,-0.43587430235356617,0.09000000000000001,0.0,0.02,0.11,0.0,0.030000000000000002,0.0,0.030000000000000002,0.05,0.02,0.09000000000000001,0.04,0.03,0.0,0.0,0.01,0.0,0.05,0.03,0.020000000000000004,0.0,0.11,0.02,0.21,0.05,0.02,0.09000000000000001,0.0,0.0,0.0,0.27999999999999997,0.02,0.0,0.030000000000000002,0.0,0.05,0.04,0.07,0.02,0.04,0.060000000000000005,0.31,0.0,0.11000000000000001,0.060000000000000005,0.2,0.32,0.13,0.0,0.030000000000000006,0.02,0.05,0.07,0.72,0.010000000000000002,2,0,7.635581568190264,0.315018315018315,14,0.961414842929823,1,1.5833333333333335,-0.6545454545454545,-2.9822012864610743,-3.603504762011289,6.73781111111111,30.649,0,0,5,0,4,0,0,0,0,0,3,4,1,0,1,1,0,2,4,0,0,"['niceRhino' 'culturedCow' 'spryBison' 'smallGiraffe' 'culturedBear'
 'spryOrangutan' 'littleSquirrel']"
0,smallGiraffe,0.1723827603125,0.42361958275,0.403997645,11.375,55.375,1.0,-0.378115967867641,-0.4240298919635235,0.00125,0.0,0.00125,0.005,0.0,0.0025,0.0,0.00125,0.00375,0.00125,0.011250000000000001,0.00375,0.00125,0.0,0.0,0.0,0.0,0.00125,0.0025,0.0025,0.0037500000000000003,0.008749999999999999,0.0024999999999999996,0.01875,0.00125,0.005,0.008749999999999999,0.0,0.0,0.0,0.022500000000000003,0.00125,0.0,0.0025,0.0,0.005,0.00125,0.0075,0.0,0.0025,0.00125,0.02625,0.0,0.0075,0.00375,0.015,0.02125,0.01125,0.0,0.0,0.00125,0.0025,0.0075,0.057499999999999996,0.0,0.125,0.0,0.9383667502088555,0.0877297410192147,0.375,0.03237217017954722,0.0,0.101875,0.0043749999999999995,0.0314633889811721,-0.08181703663854548,0.5642,12.58025,0.0,0.0,0.625,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.125,0.0,0.125,0.0,0.125,0.0,0.25,0.0,0.0,1.3790620825,3.388956662,3.23198116,91,443,8,-3.024927742941128,-3.392239135708188,0.01,0.0,0.01,0.04,0.0,0.02,0.0,0.01,0.03,0.01,0.09000000000000001,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.030000000000000002,0.06999999999999999,0.019999999999999997,0.15,0.01,0.04,0.06999999999999999,0.0,0.0,0.0,0.18000000000000002,0.01,0.0,0.02,0.0,0.04,0.01,0.06,0.0,0.02,0.01,0.21,0.0,0.06,0.03,0.12,0.17,0.09,0.0,0.0,0.01,0.02,0.06,0.45999999999999996,0.0,1,0,7.506934001670844,0.7018379281537176,3,0.2589773614363778,0,0.815,0.034999999999999996,0.2517071118493768,-0.6545362931083638,4.5136,100.642,0,0,5,0,5,0,0,0,0,0,0,6,1,0,1,0,1,0,2,0,0,"['niceRhino' 'culturedCow' 'spryBison' 'youngLion' 'culturedBear'
 'spryOrangutan' 'littleSquirrel']"
0,culturedBear,0.14497069966666667,0.17419562383333334,0.68083369,20.5,99.66666666666667,1.0,0.4649144148665559,0.37323053184622984,0.005,0.0,0.0,0.01833333333333333,0.0016666666666666663,0.01,0.0,0.0016666666666666668,0.01,0.0,0.016666666666666666,0.006666666666666665,0.0,0.0,0.0,0.0,0.0,0.005,0.0033333333333333327,0.011666666666666667,0.0016666666666666663,0.008333333333333333,0.005,0.02333333333333333,0.0033333333333333335,0.0,0.02333333333333333,0.0,0.0,0.0,0.03666666666666667,0.0033333333333333327,0.0,0.005,0.0,0.003333333333333334,0.0,0.0016666666666666663,0.0,0.01,0.01333333333333333,0.028333333333333332,0.0,0.015,0.013333333333333334,0.02,0.04666666666666666,0.03166666666666667,0.0,0.0,0.0,0.008333333333333333,0.0016666666666666663,0.11499999999999999,0.0,0.0,0.0,0.8854815323565323,0.003968253968253968,1.0,0.0,0.0,0.40395833333333336,0.13020833333333331,-0.0927426748758708,-0.1950792942066092,1.1180179487179487,8.664333333333333,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.869824198,1.045173743,4.08500214,123,598,6,2.7894864891993354,2.239383191077379,0.030000000000000002,0.0,0.0,0.10999999999999999,0.009999999999999998,0.06,0.0,0.01,0.06,0.0,0.09999999999999999,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.03,0.019999999999999997,0.07,0.009999999999999998,0.049999999999999996,0.03,0.13999999999999999,0.02,0.0,0.13999999999999999,0.0,0.0,0.0,0.22,0.019999999999999997,0.0,0.03,0.0,0.020000000000000004,0.0,0.009999999999999998,0.0,0.06,0.07999999999999999,0.16999999999999998,0.0,0.09,0.08,0.12,0.27999999999999997,0.19,0.0,0.0,0.0,0.049999999999999996,0.009999999999999998,0.69,0.0,0,0,5.312889194139194,0.023809523809523808,6,0.0,0,2.42375,0.7812499999999999,-0.5564560492552248,-1.1704757652396551,6.708107692307692,51.986,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,"['niceRhino' 'culturedCow' 'spryBison' 'youngLion' 'smallGiraffe'
 'spryOrangutan' 'littleSquirrel']"
0,spryOrangutan,0.10320878771428572,0.6486812381428572,0.24810996571428573,18.571428571428573,93.85714285714286,1.0,0.2747027773152472,0.19334589912888514,0.004285714285714286,0.0,0.0,0.015714285714285715,0.005714285714285714,0.0014285714285714286,0.002857142857142857,0.0014285714285714286,0.01,0.0,0.0071428571428571435,0.01,0.005714285714285714,0.0,0.0,0.0,0.002857142857142857,0.0,0.0,0.0014285714285714286,0.01,0.0071428571428571435,0.005714285714285714,0.027142857142857142,0.0014285714285714286,0.0014285714285714286,0.012857142857142859,0.0,0.0014285714285714286,0.0,0.022857142857142857,0.01,0.0,0.008571428571428572,0.0,0.01,0.005714285714285714,0.005714285714285714,0.0014285714285714286,0.005714285714285714,0.011428571428571429,0.03,0.0,0.017142857142857144,0.012857142857142857,0.022857142857142857,0.039999999999999994,0.015714285714285715,0.0,0.0014285714285714286,0.002857142857142857,0.02,0.005714285714285714,0.1,0.0,0.0,0.0,0.9499269412912591,0.03349206349206349,2.857142857142857,0.055358248443526645,0.0,0.30522959183673465,0.10993480725623583,-0.28196897091276046,-0.36763284606095853,0.9989261083743841,7.188571428571429,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.722461514,4.540768667,1.73676976,130,657,7,1.9229194412067305,1.353421293902196,0.03,0.0,0.0,0.11,0.04,0.01,0.02,0.01,0.07,0.0,0.05,0.07,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.07,0.05,0.04,0.19,0.01,0.01,0.09000000000000001,0.0,0.01,0.0,0.16,0.07,0.0,0.06,0.0,0.07,0.04,0.04,0.01,0.04,0.08,0.21,0.0,0.12,0.09,0.16,0.27999999999999997,0.11,0.0,0.01,0.02,0.14,0.04,0.7000000000000001,0.0,0,0,6.649488589038814,0.23444444444444443,20,0.3875077391046865,0,2.1366071428571427,0.7695436507936508,-1.973782796389323,-2.5734299224267096,6.992482758620689,50.32,0,0,2,0,2,0,0,0,0,0,1,2,1,0,0,0,0,4,2,0,0,"['niceRhino' 'culturedCow' 'spryBison' 'youngLion' 'smallGiraffe'
 'culturedBear' 'littleSquirrel']"
0,littleSquirrel,0.01757366,0.4209262,0.56150013,30.0,183.0,1.0,1.2174908938739077,1.0849479917278981,0.01,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.030000000000000002,0.02,0.02,0.01,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.04,0.0,0.02,0.02,0.02,0.1,0.030000000000000002,0.0,0.0,0.0,0.01,0.01,0.14,0.0,0.0,0.0,0.9,0.03333333333333333,4.0,0.0,0.0,0.7083333333333334,0.0,-0.6699880359042624,-0.7214635199881942,1.488,12.775,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757366,0.4209262,0.56150013,30,183,1,1.2174908938739077,1.0849479917278981,0.01,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.030000000000000002,0.02,0.02,0.01,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.04,0.0,0.02,0.02,0.02,0.1,0.030000000000000002,0.0,0.0,0.0,0.01,0.01,0.14,0.0,0,0,0.9,0.03333333333333333,4,0.0,0,0.7083333333333334,0.0,-0.6699880359042624,-0.7214635199881942,1.488,12.775,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['niceRhino' 'culturedCow' 'spryBison' 'youngLion' 'smallGiraffe'
 'culturedBear' 'spryOrangutan']"
1,newLion,0.09593384049999999,0.38619665350000004,0.5178694891666666,6.333333333333333,36.083333333333336,1.0,-0.7797313004148335,-0.7571366290131776,0.0016666666666666663,0.0025,0.0,0.0025,0.0025,0.0016666666666666668,0.0,0.0008333333333333334,0.0008333333333333332,0.0008333333333333334,0.005833333333333333,0.0008333333333333334,0.0033333333333333335,0.0,0.0,0.0,0.0,0.005833333333333333,0.0,0.0008333333333333332,0.0033333333333333327,0.004166666666666667,0.0008333333333333334,0.005,0.0,0.0008333333333333334,0.004166666666666667,0.0,0.0,0.0,0.0175,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333327,0.0008333333333333334,0.0025,0.0016666666666666668,0.005833333333333333,0.0,0.006666666666666667,0.0025,0.0008333333333333332,0.013333333333333334,0.005,0.0,0.0033333333333333335,0.0,0.0016666666666666663,0.0033333333333333327,0.02666666666666667,0.0008333333333333332,0.0,0.0,0.953907203907204,0.07453703703703703,0.5,0.02917137742604108,0.08333333333333333,0.24583333333333335,0.13749999999999998,-0.31493229205554857,-0.20479443871618205,2.3782675925925925,7.605166666666666,0.0,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,1.151206086,4.634359842,6.21443387,76,433,12,-9.356775604978003,-9.085639548158131,0.019999999999999997,0.03,0.0,0.03,0.03,0.02,0.0,0.01,0.009999999999999998,0.01,0.06999999999999999,0.01,0.04,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.009999999999999998,0.039999999999999994,0.05,0.01,0.06,0.0,0.01,0.049999999999999996,0.0,0.0,0.0,0.21000000000000002,0.01,0.0,0.0,0.0,0.0,0.04,0.039999999999999994,0.01,0.03,0.02,0.06999999999999999,0.0,0.08,0.03,0.009999999999999998,0.16,0.06,0.0,0.04,0.0,0.019999999999999997,0.039999999999999994,0.32,0.009999999999999998,0,0,11.446886446886447,0.8944444444444444,6,0.35005652911249296,1,2.95,1.65,-3.7791875046665826,-2.4575332645941845,28.539211111111108,91.262,0,0,3,0,2,0,0,0,0,0,0,4,0,0,1,0,1,2,1,0,0,"['likelyRabbit' 'conventionalMonkey' 'littleCow' 'newPanda'
 'likelyGorilla']"
1,likelyRabbit,0.2806533265555556,0.29350460733333333,0.42584205,11.0,55.44444444444444,1.0,-0.41309147730868784,-0.35974447566371975,0.0011111111111111111,0.002222222222222222,0.001111111111111111,0.007777777777777778,0.001111111111111111,0.0022222222222222222,0.0,0.002222222222222222,0.01,0.0,0.013333333333333332,0.005555555555555555,0.004444444444444444,0.0,0.0,0.0,0.0,0.005555555555555555,0.0,0.003333333333333333,0.0044444444444444444,0.002222222222222222,0.0,0.016666666666666666,0.0,0.004444444444444444,0.012222222222222221,0.0,0.0,0.0,0.02333333333333333,0.002222222222222222,0.0,0.008888888888888887,0.0,0.001111111111111111,0.004444444444444444,0.007777777777777777,0.0,0.0022222222222222222,0.006666666666666666,0.02222222222222222,0.0,0.007777777777777777,0.008888888888888887,0.016666666666666666,0.014444444444444446,0.0044444444444444444,0.0,0.002222222222222222,0.0,0.006666666666666666,0.007777777777777777,0.05,0.0011111111111111111,0.0,0.0,0.9716049382716049,0.08950617283950618,1.3333333333333333,0.0704677260641082,0.1111111111111111,0.31083333333333335,0.18416666666666667,0.5220452915375289,0.7752683799359573,1.1445938271604938,7.388222222222222,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.525879939,2.641541466,3.83257845,99,499,9,-3.7178232957781905,-3.2377002809734776,0.01,0.019999999999999997,0.009999999999999998,0.07,0.009999999999999998,0.02,0.0,0.019999999999999997,0.09,0.0,0.12,0.049999999999999996,0.039999999999999994,0.0,0.0,0.0,0.0,0.049999999999999996,0.0,0.03,0.04,0.019999999999999997,0.0,0.15,0.0,0.039999999999999994,0.10999999999999999,0.0,0.0,0.0,0.21,0.019999999999999997,0.0,0.07999999999999999,0.0,0.009999999999999998,0.039999999999999994,0.06999999999999999,0.0,0.02,0.06,0.19999999999999998,0.0,0.06999999999999999,0.07999999999999999,0.15,0.13,0.04,0.0,0.019999999999999997,0.0,0.06,0.06999999999999999,0.45,0.01,0,0,8.744444444444444,0.8055555555555556,12,0.6342095345769738,1,2.7975000000000003,1.6575,4.69840762383776,6.9774154194236155,10.301344444444444,66.494,0,0,2,0,1,0,0,0,0,0,2,5,0,0,0,0,0,3,0,0,0,['newLion' 'conventionalMonkey' 'littleCow' 'newPanda' 'likelyGorilla']
